===============================================================================
                 LIVING DEX GENERATION & AUDIT REPORT
===============================================================================
Date & Time : 2026-09-02 16:31:45
Game Version: US (Context: Gen7)
Trainer Info: OT = Oliverduds, TID = 63517, SID = 11102
Boxes Used  : Caixa 1 a Caixa 27 (807 Pokémon colocados)
Themed Balls: 540 | Gigantamax Factor: 0
-------------------------------------------------------------------------------
DETALHES DOS SLOTS GRAVADOS:
Box  1, Slot  1:   1 Bulbasaur          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  8:  68 Machamp            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  9:  69 Bellsprout         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 10:  70 Weepinbell         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 11:  71 Victreebel         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 12:  72 Tentacool          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 13:  73 Tentacruel         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 14:  74 Geodude            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 15:  75 Graveler           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 16:  76 Golem              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 17:  77 Ponyta             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 18:  78 Rapidash           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 19:  79 Slowpoke           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 20:  80 Slowbro            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 21:  81 Magnemite          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  3, Slot 22:  82 Magneton           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  3, Slot 23:  83 Farfetch’d         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 24:  84 Doduo              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 25:  85 Dodrio             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 26:  86 Seel               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 27:  87 Dewgong            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 28:  88 Grimer             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 29:  89 Muk                Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot 30:  90 Shellder           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  1:  91 Cloyster           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  2:  92 Gastly             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot  3:  93 Haunter            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot  4:  94 Gengar             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot  5:  95 Onix               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  6:  96 Drowzee            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  7:  97 Hypno              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  8:  98 Krabby             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot  9:  99 Kingler            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 10: 100 Voltorb            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 11: 101 Electrode          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 12: 102 Exeggcute          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 13: 103 Exeggutor          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 14: 104 Cubone             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 15: 105 Marowak            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 16: 106 Hitmonlee          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 17: 107 Hitmonchan         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 18: 108 Lickitung          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 19: 109 Koffing            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 20: 110 Weezing            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 21: 111 Rhyhorn            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 22: 112 Rhydon             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 23: 113 Chansey            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 24: 114 Tangela            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 25: 115 Kangaskhan         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 26: 116 Horsea             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 27: 117 Seadra             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  4, Slot 28: 118 Goldeen            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 29: 119 Seaking            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  4, Slot 30: 120 Staryu             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  1: 121 Starmie            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  2: 122 Mr. Mime           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot  3: 123 Scyther            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  4: 124 Jynx               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot  5: 125 Electabuzz         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  6: 126 Magmar             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  7: 127 Pinsir             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  8: 128 Tauros             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot  9: 129 Magikarp           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 10: 130 Gyarados           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 11: 131 Lapras             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 12: 132 Ditto              Lv.100 | Origin: C      | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 13: 133 Eevee              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 14: 134 Vaporeon           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot 15: 135 Jolteon            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot 16: 136 Flareon            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 17: 137 Porygon            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 18: 138 Omanyte            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot 19: 139 Omastar            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot 20: 140 Kabuto             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 21: 141 Kabutops           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 22: 142 Aerodactyl         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 23: 143 Snorlax            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 24: 144 Articuno           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 25: 145 Zapdos             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  5, Slot 26: 146 Moltres            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 27: 147 Dratini            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 28: 148 Dragonair          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 29: 149 Dragonite          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  5, Slot 30: 150 Mewtwo             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  6, Slot  1: 151 Mew                Lv.  5 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  2: 152 Chikorita          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  3: 153 Bayleef            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  4: 154 Meganium           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  5: 155 Cyndaquil          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  6: 156 Quilava            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  7: 157 Typhlosion         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  8: 158 Totodile           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot  9: 159 Croconaw           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 10: 160 Feraligatr         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 11: 161 Sentret            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 12: 162 Furret             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 13: 163 Hoothoot           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 14: 164 Noctowl            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  6, Slot 15: 165 Ledyba             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 16: 166 Ledian             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 17: 167 Spinarak           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 18: 168 Ariados            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 19: 169 Crobat             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 20: 170 Chinchou           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 21: 171 Lanturn            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 22: 172 Pichu              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 23: 173 Cleffa             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 24: 174 Igglybuff          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 25: 175 Togepi             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 26: 176 Togetic            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  6, Slot 27: 177 Natu               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 28: 178 Xatu               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 29: 179 Mareep             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  6, Slot 30: 180 Flaaffy            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  1: 181 Ampharos           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  7, Slot  2: 182 Bellossom          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  3: 183 Marill             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  4: 184 Azumarill          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  5: 185 Sudowoodo          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  6: 186 Politoed           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  7: 187 Hoppip             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  8: 188 Skiploom           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot  9: 189 Jumpluff           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 10: 190 Aipom              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 11: 191 Sunkern            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 12: 192 Sunflora           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  7, Slot 13: 193 Yanma              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 14: 194 Wooper             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 15: 195 Quagsire           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 16: 196 Espeon             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  7, Slot 17: 197 Umbreon            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 18: 198 Murkrow            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 19: 199 Slowking           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 20: 200 Misdreavus         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 21: 201 Unown              Lv.100 | Origin: C      | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 22: 202 Wobbuffet          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 23: 203 Girafarig          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 24: 204 Pineco             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 25: 205 Forretress         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 26: 206 Dunsparce          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 27: 207 Gligar             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 28: 208 Steelix            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 29: 209 Snubbull           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  7, Slot 30: 210 Granbull           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  1: 211 Qwilfish           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  2: 212 Scizor             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  3: 213 Shuckle            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  4: 214 Heracross          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  5: 215 Sneasel            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  6: 216 Teddiursa          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  7: 217 Ursaring           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot  8: 218 Slugma             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  8, Slot  9: 219 Magcargo           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  8, Slot 10: 220 Swinub             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot 11: 221 Piloswine        ★ Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  8, Slot 12: 222 Corsola            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
